gene_name	A549_0_1	A549_0_2	A549_0_3	A549_25_1	A549_25_2	A549_25_3
ENSG00000233472.1	0	0	0	0	0	0
ENSG00000226395.1	0	0	0	0	0	0
ENSG00000150054.18	11	10	17	7	9	6
ENSG00000275036.1	0	0	0	0	0	0
ENSG00000282996.1	0	0	0	0	0	0
ENSG00000237746.1	0	0	0	0	0	0
ENSG00000222666.2	0	0	0	0	0	0
ENSG00000237128.1	0	0	0	0	0	0
ENSG00000224439.2	0	0	0	0	0	0
ENSG00000222705.1	0	0	0	0	0	0
ENSG00000254635.5	1778	1952	1783	2082	1834	1707
ENSG00000095787.21	8034	8827	7959	8742	8547	7312
ENSG00000252401.1	0	0	0	0	0	0
ENSG00000231911.1	0	0	0	1	0	0
ENSG00000207483.1	0	0	0	0	0	0
ENSG00000095739.10	1756	1919	1576	1737	1919	1571
ENSG00000232624.7	3	2	6	6	1	3
ENSG00000236716.1	0	0	0	0	0	0
ENSG00000201001.1	0	0	0	0	0	0
ENSG00000235824.4	0	0	0	0	0	0
ENSG00000271220.2	0	0	0	0	0	0
ENSG00000199402.1	0	0	0	0	0	0
ENSG00000229605.5	5	2	1	3	0	2
ENSG00000120563.9	0	2	0	0	0	0
ENSG00000224597.10	2150	2287	2011	1980	2001	2081
ENSG00000274985.1	3	4	2	8	5	4
ENSG00000197321.14	2285	2476	2384	2487	2182	2348
ENSG00000207612.1	0	0	0	0	0	0
ENSG00000212411.1	0	0	0	0	0	0
ENSG00000216035.1	0	0	0	0	0	0
ENSG00000225976.5	747	966	905	924	941	794
ENSG00000222092.1	0	0	0	0	0	0
ENSG00000237936.1	0	0	0	0	0	0
ENSG00000165757.8	1548	1551	1802	1806	1447	1809
ENSG00000200887.1	1	0	0	1	0	0
ENSG00000230125.1	0	0	0	0	1	1
ENSG00000259994.1	76	70	57	107	87	57
ENSG00000107951.14	2039	2155	2168	2300	2210	1944
ENSG00000285824.1	0	0	0	0	0	0
ENSG00000250833.1	0	0	0	1	1	0
ENSG00000241621.1	0	0	0	0	0	0
ENSG00000239625.3	0	0	0	0	0	0
ENSG00000284277.1	0	0	0	0	0	0
ENSG00000214434.2	1	0	2	2	0	0
ENSG00000235679.1	0	0	0	0	0	0
ENSG00000224473.1	2	2	0	1	0	0
ENSG00000107968.9	2563	2551	2021	2554	2253	1718
ENSG00000213778.2	2	1	1	0	1	0
ENSG00000228800.1	0	0	0	0	0	0
ENSG00000239744.3	0	0	0	0	0	0
ENSG00000230298.1	0	0	0	0	0	0
ENSG00000285630.1	0	0	0	2	0	0
ENSG00000151033.9	1	0	1	1	0	0
ENSG00000234814.8	13	17	12	22	18	13
ENSG00000230720.1	0	0	0	0	0	0
ENSG00000183621.15	289	314	318	270	295	272
ENSG00000272914.1	11	6	5	5	5	5
ENSG00000237135.1	4	2	4	1	3	4
ENSG00000272381.1	0	0	0	0	0	0
ENSG00000237036.4	186	207	161	190	166	183
ENSG00000252479.1	0	0	0	0	0	0
ENSG00000148516.21	1631	1901	1771	1729	1816	1661
ENSG00000230397.1	238	250	259	255	237	232
ENSG00000285781.1	0	0	0	0	0	0
ENSG00000223834.3	1	1	0	0	0	1
ENSG00000231855.1	0	0	0	0	0	0
ENSG00000237797.1	0	0	0	0	0	0
ENSG00000222412.1	0	0	0	0	0	0
ENSG00000165322.17	4246	4223	3871	4800	4099	3497
ENSG00000231148.1	0	0	0	0	0	0
ENSG00000230240.1	0	1	0	0	0	0
ENSG00000239731.3	0	0	1	0	1	0
ENSG00000170759.10	16992	19645	18550	18656	18333	17316
ENSG00000206660.1	1	0	1	3	0	1
ENSG00000234335.1	33	19	18	35	19	11
ENSG00000235113.1	0	0	0	1	0	0
ENSG00000234811.1	0	0	0	0	0	0
ENSG00000252482.1	0	0	0	0	0	0
ENSG00000217094.2	6279	7081	6524	6185	6975	5672
ENSG00000233190.1	0	1	0	0	2	2
ENSG00000227253.3	1	0	0	5	2	0
ENSG00000120616.15	1791	1942	1697	2013	1749	1522
ENSG00000226842.1	0	0	0	0	0	0
ENSG00000233825.1	1	1	0	1	0	1
ENSG00000229327.1	0	0	0	0	0	0
ENSG00000200484.1	0	0	0	0	0	0
ENSG00000216937.13	161	162	146	183	156	147
ENSG00000231245.2	235	223	206	238	237	202
ENSG00000273038.2	414	483	469	542	409	456
ENSG00000150093.18	150930	163073	149415	164720	153848	141282
ENSG00000228816.1	0	0	0	0	0	0
ENSG00000229656.6	612	572	509	678	553	509
ENSG00000234163.1	0	0	0	0	0	0
ENSG00000265319.2	0	0	0	0	0	0
ENSG00000229878.1	0	0	0	0	0	0
ENSG00000235962.5	12	15	11	10	17	5
ENSG00000233387.1	0	0	0	0	1	0
ENSG00000099250.17	19057	19770	17436	23316	19380	17111
ENSG00000238258.1	168	152	54	246	134	148
ENSG00000244356.3	0	2	0	0	0	0
ENSG00000273012.1	2	1	1	2	0	2
ENSG00000226412.1	0	0	0	0	0	0
ENSG00000203565.2	0	0	1	0	1	1
ENSG00000261683.1	0	0	0	0	0	0
ENSG00000226407.1	0	0	0	0	0	0
ENSG00000223470.3	0	0	0	0	0	0
ENSG00000148498.15	11861	13937	10831	13324	13273	9878
ENSG00000199200.2	0	0	0	0	0	0
ENSG00000234167.1	0	0	0	0	0	0
ENSG00000229235.1	0	0	1	0	0	0
ENSG00000215184.2	0	1	0	0	0	0
ENSG00000226386.1	23	15	7	27	19	17
ENSG00000232525.1	0	0	0	0	0	0
ENSG00000223047.1	0	0	0	0	0	0
ENSG00000222909.1	0	0	0	0	0	0
ENSG00000213724.4	0	0	0	0	0	0
ENSG00000283000.1	0	0	0	0	0	0
ENSG00000108094.14	3324	3573	3342	3402	3190	3018
ENSG00000266228.1	0	0	0	0	0	0
ENSG00000230534.6	7	2	6	9	7	4
ENSG00000095794.19	1640	1700	1439	1700	1662	1438
ENSG00000253054.1	0	0	0	0	0	0
ENSG00000233343.1	0	0	1	1	2	0
ENSG00000269952.1	5	15	10	11	5	10
ENSG00000233200.1	0	0	0	0	0	0
ENSG00000253070.1	0	0	0	0	0	1
ENSG00000108100.17	3428	3742	2928	3621	3452	2969
ENSG00000200097.1	0	0	0	0	0	0
ENSG00000271335.5	68	56	72	77	44	58
ENSG00000273312.2	0	1	0	1	0	0
